iter	Passed	Remaining
0	4	4741
1	9	4611
2	14	4709
3	18	4712
4	23	4692
5	28	4663
6	32	4665
7	37	4621
8	41	4565
9	46	4566
10	50	4537
11	54	4485
12	58	4464
13	63	4443
14	67	4420
15	71	4397
16	77	4485
17	82	4482
18	86	4485
19	91	4507
20	97	4561
21	103	4601
22	122	5203
23	127	5188
24	131	5144
25	135	5094
26	140	5054
27	148	5148
28	152	5112
29	157	5094
30	175	5476
31	179	5430
32	183	5380
33	187	5339
34	192	5303
35	196	5260
36	200	5223
37	204	5189
38	222	5483
39	227	5448
40	231	5406
41	235	5368
42	239	5332
43	243	5293
44	247	5255
45	251	5220
46	255	5186
47	260	5161
48	264	5130
49	268	5097
50	272	5064
51	276	5040
52	280	5013
53	284	4984
54	288	4956
55	292	4936
56	296	4911
57	301	4901
58	306	4889
59	311	4874
60	316	4865
61	320	4843
62	325	4835
63	329	4813
64	333	4792
65	337	4771
66	341	4753
67	345	4741
68	349	4722
69	353	4701
70	357	4683
71	362	4675
72	367	4668
73	371	4652
74	375	4635
75	379	4619
76	383	4602
77	388	4587
78	392	4574
79	396	4558
80	400	4544
81	404	4530
82	408	4515
83	412	4502
84	416	4487
85	421	4474
86	425	4461
87	429	4447
88	433	4434
89	437	4423
90	441	4410
91	445	4396
92	449	4382
93	453	4370
94	457	4356
95	461	4342
96	465	4330
97	469	4322
98	473	4311
99	477	4300
100	501	4461
101	520	4578
102	524	4564
103	540	4654
104	544	4638
105	548	4623
106	551	4603
107	555	4588
108	560	4578
109	564	4564
110	568	4550
111	572	4536
112	577	4531
113	581	4517
114	585	4507
115	589	4492
116	593	4479
117	597	4465
118	601	4453
119	605	4440
120	625	4543
121	629	4530
122	633	4518
123	637	4504
124	642	4496
125	646	4483
126	650	4473
127	654	4459
128	658	4445
129	662	4431
130	666	4419
131	670	4409
132	674	4397
133	678	4384
134	682	4374
135	686	4362
136	690	4351
137	694	4339
138	698	4328
139	703	4319
140	707	4308
141	710	4295
142	714	4283
143	718	4273
144	722	4262
145	726	4251
146	730	4239
147	736	4239
148	740	4229
149	744	4217
150	748	4209
151	752	4199
152	756	4187
153	760	4176
154	764	4166
155	768	4156
156	772	4147
157	776	4136
158	780	4129
159	784	4120
160	788	4111
161	792	4101
162	797	4094
163	801	4084
164	805	4075
165	809	4065
166	813	4057
167	817	4049
168	821	4040
169	825	4031
170	831	4032
171	836	4025
172	840	4016
173	844	4007
174	849	4003
175	853	3996
176	857	3987
177	861	3978
178	865	3970
179	869	3960
180	873	3953
181	877	3944
182	881	3937
183	886	3929
184	890	3921
185	894	3913
186	898	3904
187	902	3896
188	906	3889
189	910	3880
190	914	3872
191	917	3863
192	922	3857
193	926	3850
194	931	3843
195	934	3834
196	939	3827
197	943	3820
198	947	3812
199	950	3803
200	954	3793
201	958	3786
202	962	3779
203	966	3771
204	970	3763
